cohort	gene	alias	n	rho	rho_lo	rho_hi	p	rho_purity_adj	p_purity_adj	rho_prolif_adj	p_prolif_adj	q	q_purity_adj	q_prolif_adj
SKCM	TIGIT	TIGIT	102	-0.21948626622507064	-0.4069239047803561	-0.014312512886074127	0.026658337664339084	-0.25755525971573956	0.009316869583782646	-0.19270193317136675	0.05352497717742555	0.0625397021035443	0.02900534870422899	0.12266140603160022
SKCM	IDO1	IDO1	102	-0.08336019272094614	-0.28430266624234496	0.12459787793264254	0.4048606440820844	-0.1276453634426852	0.20335073562528586	-0.08875422482726608	0.37744711214598664	0.5261749125443275	0.34173556781292114	0.5282055928328176
SKCM	BTLA	BTLA	102	0.05554864475529676	-0.1520096043710234	0.2584144988207607	0.579217546427854	0.019145190136256544	0.8492862173653627	-0.07176378481640915	0.47574664519593385	0.6892131862542974	0.9099495186057458	0.6116742581090577
SKCM	SIGLEC15	Siglec-15	102	-0.1462554527355075	-0.34178717501204997	0.06141355653693516	0.1424296944212816	-0.1688605728163936	0.0914017794060619	-0.1845188445455932	0.06471750126879393	0.23658623737763218	0.18542574100819934	0.14174850941616368
SKCM	CD276	B7-H3	102	0.41289676874134834	0.22630874425991043	0.5702553368056811	1.6126364515282424e-05	0.4119593761416797	1.8665870836574298e-05	0.22959544710096857	0.02090866472125899	9.50303623222e-05	0.00011999488394940619	0.05476078855567831
SKCM	IL10	IL-10	102	0.0919337427230094	-0.11608307909542163	0.29222463454028375	0.35810069086944896	0.05880086961244801	0.5591587230139525	0.009423590882086304	0.9254831930354839	0.4773136185162119	0.7078863628949016	0.9583978672647793
SKCM	TGFB1	TGF-beta1	102	0.08333639620162286	-0.12462146883436567	0.2842806399841613	0.4049952357159369	0.05916579329488767	0.5567183554976806	0.16099541858888014	0.10775746798899943	0.5261749125443275	0.7078863628949016	0.2099997899785619
SKCM	ENTPD1	CD39	102	0.1553528716613564	-0.05213443249580543	0.3499825740702621	0.11896512937379593	0.12012053795767813	0.23149836460770826	0.044877302843957606	0.6558702642633325	0.20518375972135533	0.37205094311953113	0.7642244329676806
SKCM	NT5E	CD73	102	0.2840982985530211	0.08313940870138403	0.46285405708672467	0.003806503841904064	0.2676838119295504	0.006804201771965781	0.1363639403906515	0.17391115996192053	0.011737148784160144	0.022480192581653676	0.29890980618455093
STAD	CD274	PD-L1	413	0.25626666165618484	0.15816599845974902	0.3493577258771292	1.2875673280960513e-07	0.2847052329390521	4.016178798750593e-09	0.08439893830267607	0.08708842830315058	1.1381175489420451e-06	4.9700212634538576e-08	0.18037143100443323
